"id","samp_period","series","series_rep","rep_id","log.co2pmin_22","log.co2pmin_26","log.co2pmin_28","log.co2pmin_24","log.co2pmin_32","log.co2pmin_30","z.log.mass_22","z.log.mass_26","z.log.mass_28","z.log.mass_24","z.log.mass_32","z.log.mass_30","prior_temp_22","prior_temp_26","prior_temp_28","prior_temp_24","prior_temp_32","prior_temp_30"
"ld0002",8,"ld0002_8","ld0002_8_c_co2_samp_2","c_co2_samp_2",-3.923797732,-3.339238824,-2.521838123,-3.3262949,-3.045264376,-3.44560695,-1.20472975991595,-0.944269815371845,-0.944269815371845,-1.02744745726404,-1.20472975991595,-1.02744745726404,22,23,26,23,22,24
"ld0002",9,"ld0002_9","ld0002_9_c_co2_samp_1","c_co2_samp_1",NA,-3.322803002,NA,NA,NA,-2.902149552,-1.10298745474819,-1.22180209121163,-1.10298745474819,-1.22180209121163,-1.29904129860289,-1.29904129860289,28,24,23.5,24,30,23.5
"ld0002",9,"ld0002_9","ld0002_9_c_co2_samp_2","c_co2_samp_2",NA,-3.316052483,NA,NA,NA,-2.918857019,-1.10298745474819,-1.22180209121163,-1.10298745474819,-1.22180209121163,-1.29904129860289,-1.29904129860289,28,24,23.5,24,30,23.5
"ld0006",1,"ld0006_1","ld0006_1_c_co2_samp_1","c_co2_samp_1",-4.842977216,NA,-4.428766986,NA,-3.769567617,NA,-0.587374303229588,-0.853675927020666,-0.587374303229588,-0.595326433830964,-0.595326433830964,-0.853675927020666,27.5,26.5,22,26.5,24,26
"ld0006",1,"ld0006_1","ld0006_1_c_co2_samp_2","c_co2_samp_2",-4.504809379,NA,-4.503289672,NA,-3.750185052,NA,-0.587374303229588,-0.853675927020666,-0.587374303229588,-0.595326433830964,-0.595326433830964,-0.853675927020666,27.5,26.5,22,26.5,24,26
"ld0006",10,"ld0006_10","ld0006_10_c_co2_samp_1","c_co2_samp_1",-5.385934025,-4.047532893,NA,-4.530270567,NA,-3.411866608,-1.05255527272813,-1.36827381170776,-1.46436927744052,-1.46436927744052,-1.05255527272813,-1.36827381170776,22.5,22,24,22.5,22,26
"ld0006",10,"ld0006_10","ld0006_10_c_co2_samp_2","c_co2_samp_2",-4.628135094,-4.478085496,NA,-4.574768586,-3.517353867,-3.26528872,-1.05255527272813,-1.36827381170776,-1.46436927744052,-1.46436927744052,-1.05255527272813,-1.36827381170776,22.5,22,24,22.5,22,26
"ld0006",2,"ld0006_2","ld0006_2_c_co2_samp_1","c_co2_samp_1",-4.492195374,-4.081291348,-3.595497671,NA,-3.350418968,-3.457659436,-0.414226209135683,-0.731627012184728,-0.731627012184728,-0.627207215557288,-0.414226209135683,-0.627207215557288,26.5,24.5,26,24.5,22,24
"ld0006",2,"ld0006_2","ld0006_2_c_co2_samp_2","c_co2_samp_2",-4.029996628,NA,-3.698183371,NA,-3.114126386,-3.464983442,-0.414226209135683,-0.731627012184728,-0.731627012184728,-0.627207215557288,-0.414226209135683,-0.627207215557288,26.5,24.5,26,24.5,22,24
"ld0006",3,"ld0006_3","ld0006_3_c_co2_samp_1","c_co2_samp_1",-4.865916097,NA,-4.260132806,-4.624913425,-3.921880399,NA,-1.29904129860289,NA,-1.29904129860289,-1.45558971140741,-1.45558971140741,NA,25.5,25.5,22,32,22.5,26
