"id","samp_period","incb_temp","series","log.temp","z.log.mass","log.co2pmin","z.log.co2pmin","log.prior_temp1","log.prior_temp2","log.temp_22cen","log.temp_24cen","log.temp_26cen","log.temp_28cen","log.temp_30cen","log.temp_32cen"
"ld0170",1,26,"ld0170_1",3.25809653802148,-0.430104929540413,-5.5741385911128,-0.774604494358852,3.3499040872746,3.2188758248682,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0020",1,28,"ld0020_1",3.3322045101752,2.84018375959353,-4.58240411090677,1.17346436324014,3.46573590279973,3.2188758248682,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0042",1,28,"ld0042_1",3.3322045101752,1.83531005724173,-4.27704936844674,1.77327416735522,3.46573590279973,3.2188758248682,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0051",1,28,"ld0051_1",3.3322045101752,1.1610356265789,-4.0831934872043,2.15406621668717,3.46573590279973,3.2188758248682,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0118",1,28,"ld0118_1",3.3322045101752,NA,NA,NA,3.46573590279973,3.2188758248682,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0133",1,28,"ld0133_1",3.3322045101752,-0.239042809320918,-4.36775204316475,1.59510646274704,3.46573590279973,3.2188758248682,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0140",1,28,"ld0140_1",3.3322045101752,-0.314963599297681,-4.7697572526079,0.805445676781361,3.46573590279973,3.2188758248682,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0146",1,28,"ld0146_1",3.3322045101752,0.63053029730094,-4.481084034546,1.37248788147756,3.46573590279973,3.2188758248682,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0150",1,28,"ld0150_1",3.3322045101752,1.28240391187672,-4.9450007956363,0.461213933827336,3.46573590279973,3.2188758248682,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0154",1,28,"ld0154_1",3.3322045101752,0.589403722965308,-4.47290908734544,1.38854596997986,3.46573590279973,3.2188758248682,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0170",1,28,"ld0170_1",3.3322045101752,0.47877030805324,-4.31623484920024,1.69630193713683,3.46573590279973,3.2188758248682,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0020",1,24,"ld0020_1",3.17805383034795,0.345534456027045,-5.13528040125398,0.0874467800796797,3.09104245335832,3.3322045101752,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0042",1,24,"ld0042_1",3.17805383034795,1.68522518597096,-4.54978931214783,1.23752977089437,3.13549421592915,3.3322045101752,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0051",1,24,"ld0051_1",3.17805383034795,1.07700518802132,-4.94247298743279,0.466179319762295,3.09104245335832,3.3322045101752,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0118",1,24,"ld0118_1",3.17805383034795,1.76359319497665,-3.96410303025958,2.38799617983924,3.13549421592915,3.3322045101752,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0133",1,24,"ld0133_1",3.17805383034795,-0.515523606149344,-5.35262150476981,-0.339477405461821,3.06805293513362,3.3322045101752,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0140",1,24,"ld0140_1",3.17805383034795,-0.461069069234886,-5.1670214206738,0.0250977414263497,3.09104245335832,3.3322045101752,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0146",1,24,"ld0146_1",3.17805383034795,0.408901243466458,-5.24969064430594,-0.137289816185029,3.09104245335832,3.3322045101752,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0150",1,24,"ld0150_1",3.17805383034795,1.23150821793048,-5.48657651600874,-0.602605884830295,3.11351530921037,3.3322045101752,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0154",1,24,"ld0154_1",3.17805383034795,0.352598103907569,-5.25915088563453,-0.155872614187341,3.09104245335832,3.3322045101752,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
