"id","samp_period","series","avg_mass","t_22","t_24","t_26","t_28","t_30","t_32","z.log.mass"
"ld0002",1,"ld0002_1",1.08433333333333,-1.88042411476913,-0.511225982539664,-0.305599190786879,-0.492215900441104,0.270450871988616,-0.483469316756645,-0.736342109227022
"ld0002",2,"ld0002_2",1.11966666666667,-0.653824294486381,0.959956704837769,-0.351385398570544,0.0343000573243622,0.525551853526509,0.947135183353895,-0.463024272742909
"ld0002",3,"ld0002_3",1.01566666666667,0.111122559315635,0.684981847861188,-0.949278163235836,1.52826250895431,1.20246872431495,2.3752320186738,-1.29396329723481
"ld0002",4,"ld0002_4",1.071,0.510671094128479,0.903268795216355,1.18397365690753,0.908577791450515,1.32517281672644,1.92850717107128,-0.841802062674772
"ld0002",5,"ld0002_5",1.12933333333333,-2.32497599752655,1.04186183378735,1.0220886566717,1.82368962140264,1.7432526029189,1.94314588756911,-0.389750642879578
"ld0002",6,"ld0002_6",1.099,-2.28486847013548,0.561103742115354,1.10502823558643,1.37670808578876,2.71378419818066,2.59019228986614,-0.621823608573009
"ld0002",7,"ld0002_7",1.09166666666667,-1.36041774669194,0.36719341711176,0.570076453309724,-0.370461438341166,1.92789197365903,1.9119169089528,-0.678890536307414
"ld0002",8,"ld0002_8",1.04633333333333,-0.423847310058813,0.713298545633757,0.876229233658124,2.27010841249291,1.44256828620895,1.34024778113582,-1.04041092469184
"ld0002",9,"ld0002_9",1.02866666666667,0.204705607488714,0.565566308673785,0.747400668572991,1.93836493127624,1.57573460297997,NA,-1.18555681785022
"ld0002",10,"ld0002_10",1.038,0.229962305746588,-0.670932573177541,-0.282383486755883,0.496624923519213,1.31801900865355,1.0840142537016,-1.10856810860364
"ld0006",1,"ld0006_1",1.09266666666667,-1.55282570868733,-1.25387520184598,-0.61128371107545,-1.01575705724623,-0.343967186346146,-0.00459953301593628,-0.671086148150257
"ld0006",2,"ld0006_2",1.10366666666667,-0.767142949516664,-0.978272773390724,-0.459884879208357,0.259151163705537,0.683429314989492,1.18338247085187,-0.585706215535613
"ld0006",3,"ld0006_3",0.694,-2.41263978645231,-1.58235390266908,NA,1.30934171024275,NA,-0.16062126963193,-4.54002839148531
"ld0006",4,"ld0006_4",1.03566666666667,-1.59604599421676,-1.07628098661959,-0.825485841356564,0.186867459010477,-0.35573228386208,0.029118681320759,-1.1277501916147
"ld0006",5,"ld0006_5",1.102,-1.21535399766671,-1.10184469154198,1.27927783866697,-0.180716041432643,0.435957172507066,-0.297609605268313,-0.598587723206412
"ld0006",6,"ld0006_6",1.05866666666667,-1.38757989873553,-1.69019154295315,-2.39557202591367,-3.03220710065461,0.17353946319698,0.308396187531778,-0.940528038540963
"ld0006",7,"ld0006_7",0.995666666666667,-1.99277172058678,-2.1428089029373,-0.119509276343331,-0.538463646301298,-0.299551017746908,0.114949324169816,-1.46348214941244
"ld0006",8,"ld0006_8",1.01933333333333,-1.56018767549065,-1.14071156126452,-1.07200876344712,-0.478778611315547,-0.112511720690403,1.03965552499753,-1.26324725677522
"ld0006",9,"ld0006_9",0.974,-1.43595870372528,-0.805716363520846,-0.771531609175966,-0.777485711412346,1.60772567083763,-0.152009547030207,-1.65101382272991
"ld0006",10,"ld0006_10",1.01866666666667,-2.13012478167865,-1.16747734854559,-0.895400853065368,0.59529464077322,0.827617096307438,0.829703315165367,-1.26882376466368
"ld0011",1,"ld0011_1",1.191,-0.663472344891429,0.82424003397082,2.78454459904487,1.15688759546374,1.23704948162309,0.292517703615415,0.0634182806305554
"ld0011",2,"ld0011_2",1.16933333333333,-0.752616574632648,1.08157898038572,2.11541007769346,0.415191455722172,1.64898228747075,1.0802946769119,-0.0930724813312994
"ld0011",3,"ld0011_3",1.11033333333333,-1.70186616401637,-1.74974050419273,-1.09461999105823,-0.675843575712558,-0.277940473422283,-0.0605454987609958,-0.534373979672974
"ld0011",4,"ld0011_4",1.11166666666667,-1.59018194557559,-0.385171532761996,-0.781455986221994,-1.65806923049983,-0.184112457143615,0.588495785277053,-0.524144525095667
"ld0011",5,"ld0011_5",1.16933333333333,NA,-0.554812398696749,-0.101776146442691,-0.312416207939491,NA,0.420820614923647,-0.0930724813312994
"ld0011",6,"ld0011_6",1.12866666666667,NA,-1.93919044584561,-0.537833074703134,-0.0917657438062021,0.392836972210299,0.0397099312105356,-0.394783824014012
"ld0011",7,"ld0011_7",1.09866666666667,-1.53067419326726,-1.1905765453178,-1.25776118867381,-1.0125758577881,-0.153171894898914,0.307135671225282,-0.624409287950791
"ld0011",8,"ld0011_8",1.09566666666667,-1.12816684290801,-0.853216556904484,-0.538888271785504,0.517147348209281,0.278929748970202,0.605804204011225,-0.647715767011074
"ld0011",9,"ld0011_9",1.087,-1.14050325911514,-1.45854973036783,-0.238021809701973,-0.0795704111326314,0.0147184959411605,0.374343558711737,-0.715405796573922
"ld0011",10,"ld0011_10",1.08266666666667,-1.0584632760213,NA,-0.817179710183122,-0.268007482790058,-0.214640648523798,0.507466312137844,-0.749453466993795
