"id","site","samp_period","series","obs","date","batch","ch_num","incb_num","incb_temp_id","incb_temp","prior_temp_1","prior_temp_2","prior_temp_3","prior_temp_4","body_temp","co2_samp_control","co2_samp_1","co2_samp_2","defecate","air_collect_notes","fms_notes","co2_warthog_notes","co2_samp_1_correct","co2_samp_2_correct","frac_co2","lizmass","total_air","total_co2","co2_pmin","z.incb_temp","z.body_temp","log.mass","z.log.mass","log.co2pmin","z.log.co2pmin","z.prior_temp_1","z.prior_temp_2","z.log.prior_temp_1","z.prior_temp_3","z.prior_temp_4","z.log.prior_temp_2","z.log.prior_temp_3","z.log.prior_temp_4","z.log.temp"
"ld0051","SP",1,"ld0051_1",629,"26/12/2016",1,1,1,2,28,22,NA,22,NA,NA,0.000609,0.0099051,0.0110712,NA,"","","BadCO2S1",0.0092961,0.0104622,0.0104622,1.349,144.981,1.516820218,0.016853558,0.284465982,NA,0.299363577,1.163045221,-4.083193487,2.026632069,-1.41000584496483,NA,-1.47986769889271,-1.18852127764524,NA,NA,-1.26536226203824,NA,0.347756949468565
"ld0042","UNSWKen",1,"ld0042_1",453,"26/12/2016",1,2,1,2,28,22,NA,22,NA,NA,0.00147,0.0095281,0.010095,NA,"","","",0.0080581,0.008625,0.008625,1.458,144.872,1.249521,0.013883567,0.284465982,NA,0.377065634,1.842306829,-4.277049368,1.667692034,-1.41000584496483,NA,-1.47986769889271,-1.18852127764524,NA,NA,-1.26536226203824,NA,0.347756949468565
"ld0170","UNSWKen",1,"ld0170_1",2367,"26/12/2016",1,3,1,2,28,22,NA,22,NA,NA,NA,0.00733,0.0082815,NA,"","","BadCO2BL",0.00733,0.0082815,0.0082815,1.247,145.083,1.201504865,0.013350054,0.284465982,NA,0.220740667,0.475733622,-4.316234849,1.595136908,-1.41000584496483,NA,-1.47986769889271,-1.18852127764524,NA,NA,-1.26536226203824,NA,0.347756949468565
"ld0133","MP",1,"ld0133_1",1696,"26/12/2016",1,4,1,2,28,22,NA,22,NA,NA,NA,0.00719,0.0078603,NA,"","","",0.00719,0.0078603,0.0078603,1.148,145.182,1.141174075,0.012679712,0.284465982,NA,0.138021298,-0.247388701,-4.367752043,1.499748605,-1.41000584496483,NA,-1.47986769889271,-1.18852127764524,NA,NA,-1.26536226203824,NA,0.347756949468565
"ld0146","UNSWKen",1,"ld0146_1",2076,"26/12/2016",1,5,1,2,28,22,NA,22,NA,NA,0.000518,0.00586,0.00762,NA,"","","",0.005342,0.007102,0.007102,1.269,145.061,1.030223222,0.011321134,0.284465982,NA,0.238229189,0.628616083,-4.481084035,1.289905145,-1.41000584496483,NA,-1.47986769889271,-1.18852127764524,NA,NA,-1.26536226203824,NA,0.347756949468565
"ld0020","UNSWKen",1,"ld0020_1",362,"26/12/2016",1,6,1,2,28,22,NA,22,NA,NA,0.000136,0.00621,0.00657,NA,"","","BadCO2BL",0.006074,0.006434,0.006434,1.191,145.139,0.933824326,0.010261806,0.284465982,NA,0.17479329,0.074067435,-4.579326431,1.108001304,-1.41000584496483,NA,-1.47986769889271,-1.18852127764524,NA,NA,-1.26536226203824,NA,0.347756949468565
"ld0154","Maroubra",1,"ld0154_1",2290,"26/12/2016",1,7,1,2,28,22,NA,22,NA,NA,NA,0.00711,0.00716,NA,"","","MultiPCO2S2",0.00711,0.00716,0.00716,1.263,145.067,1.03867972,0.011414063,0.284465982,NA,0.233489843,0.587185321,-4.472909087,1.305041729,-1.41000584496483,NA,-1.47986769889271,-1.18852127764524,NA,NA,-1.26536226203824,NA,0.347756949468565
"ld0118","SP",1,"ld0118_1",1523,"26/12/2016",1,8,1,2,28,22,NA,22,NA,NA,0.000289,0.00608,0.00773,NA,"","","",0.005791,0.007441,0.007441,1.42,144.91,1.07827531,0.011720384,0.284465982,NA,0.350656872,1.611444752,-4.446425731,1.354077832,-1.41000584496483,NA,-1.47986769889271,-1.18852127764524,NA,NA,-1.26536226203824,NA,0.347756949468565
"ld0150","UNSWKen",1,"ld0150_1",2155,"26/12/2016",1,9,1,2,28,22,NA,22,NA,NA,6.11e-05,0.00361,0.00453,NA,"","","",0.0035489,0.0044689,0.0044689,1.368,144.962,0.647820682,0.007118909,0.284465982,NA,0.313349819,1.28531119,-4.945000796,0.43092528,-1.41000584496483,NA,-1.47986769889271,-1.18852127764524,NA,NA,-1.26536226203824,NA,0.347756949468565
"ld0140","MP",1,"ld0140_1",1910,"26/12/2016",1,10,1,2,28,22,NA,22,NA,NA,0.000912,0.00529,0.00617,NA,"","","",0.004378,0.005258,0.005258,1.138,145.192,0.763419536,0.008482439,0.284465982,NA,0.129272336,-0.323871028,-4.769757253,0.755403047,-1.41000584496483,NA,-1.47986769889271,-1.18852127764524,NA,NA,-1.26536226203824,NA,0.347756949468565
