"id","samp_period","series","avg_mass","t_22","t_24","t_26","t_28","t_30","t_32","z.log.mass"
"ld0002",1,"ld0002_1",1.08433333333333,-6.13709582035617,-5.44005629186678,-5.33537458175171,-5.4303785262092,-5.04211558972438,-5.42592576336663,-0.736342109227022
"ld0002",2,"ld0002_2",1.11966666666667,-5.51265108861901,-4.69109785948743,-5.35868369672463,-5.16233665096548,-4.91224726482475,-4.69762511590071,-0.463024272742909
"ld0002",3,"ld0002_3",1.01566666666667,-5.12322739474835,-4.83108369509568,-5.66306250133993,-4.40178136071734,-4.56763839826677,-3.97060108534079,-1.29396329723481
"ld0002",4,"ld0002_4",1.071,-4.91982285032272,-4.71995687767001,-4.57705397718234,-4.71725414229176,-4.50517146911682,-4.19802242766349,-0.841802062674772
"ld0002",5,"ld0002_5",1.12933333333333,-6.36341093681177,-4.64940110930934,-4.65946735591676,-4.25138356925333,-4.29233292502385,-4.19057006280471,-0.389750642879578
"ld0002",6,"ld0002_6",1.099,-6.34299275822718,-4.89414829793635,-4.617243981798,-4.4789355878355,-3.7982489282514,-3.86116783200157,-0.621823608573009
"ld0002",7,"ld0002_7",1.09166666666667,-5.87236788574688,-4.99286531947482,-4.88958041675613,-5.3683950405062,-4.19833561602102,-4.20646829697369,-0.678890536307414
"ld0002",8,"ld0002_8",1.04633333333333,-5.39557303759378,-4.81666806217948,-4.73372233848642,-4.02411803600017,-4.4454070853007,-4.49749701657664,-1.04041092469184
"ld0002",9,"ld0002_9",1.02866666666667,-5.0755855799973,-4.89187646801158,-4.7993071506105,-4.19300398046911,-4.37761398474951,NA,-1.18555681785022
"ld0002",10,"ld0002_10",1.038,-5.06272774983345,-5.52136067288694,-5.32355579306773,-4.92697355839637,-4.50881337227799,-4.62794190467702,-1.10856810860364
"ld0006",1,"ld0006_1",1.09266666666667,-5.9703200753898,-5.81812857335273,-5.49099427540518,-5.69690597208733,-5.35490718912546,-5.18213988577203,-0.671086148150257
"ld0006",2,"ld0006_2",1.10366666666667,-5.57034002348685,-5.67782324992362,-5.41391925763062,-5.04786811242238,-4.83187406776373,-4.57735494169564,-0.585706215535613
"ld0006",3,"ld0006_3",0.694,-6.40803933986028,-5.98535246400157,NA,-4.51323086296137,NA,-5.26156835939098,-4.54002839148531
"ld0006",4,"ld0006_4",1.03566666666667,-5.99232291540066,-5.72771785402003,-5.60004156986026,-5.08466673071736,-5.36089663494203,-5.16497441667773,-1.1277501916147
"ld0006",5,"ld0006_5",1.102,-5.79851796962349,-5.74073197696258,-4.52853595750866,-5.27179832533336,-4.95785865790433,-5.33130719603769,-0.598587723206412
"ld0006",6,"ld0006_6",1.05866666666667,-5.88619575565669,-6.04025109128397,-6.39935038281442,-6.72345235306371,-5.09145182609462,-5.02279816280713,-0.940528038540963
"ld0006",7,"ld0006_7",0.995666666666667,-6.19429040771552,-6.27067222885574,-5.2406388213332,-5.45392260373112,-5.33229554184889,-5.12127924253663,-1.46348214941244
"ld0006",8,"ld0006_8",1.01933333333333,-5.97406794923549,-5.76051855416244,-5.72554292523826,-5.4235377911426,-5.2370764640833,-4.65052431011013,-1.26324725677522
"ld0006",9,"ld0006_9",0.974,-5.91082472543481,-5.58997720650427,-5.57257422844785,-5.57560537822649,-4.361327781657,-5.2571842524305,-1.65101382272991
"ld0006",10,"ld0006_10",1.01866666666667,-6.26421492096632,-5.77414464034156,-5.63563431984194,-4.87674219189653,-4.75847009449059,-4.75740802978657,-1.26882376466368
"ld0011",1,"ld0011_1",1.191,-5.51756277550119,-4.76018930947007,-3.76222580253051,-4.59084311043705,-4.55003382066658,-5.03088167583688,0.0634182806305554
"ld0011",2,"ld0011_2",1.16933333333333,-5.56294485016498,-4.6291816681005,-4.10287278435139,-4.96843019250971,-4.34032461788683,-4.62983548895137,-0.0930724813312994
"ld0011",3,"ld0011_3",1.11033333333333,-6.04619447680988,-6.07056663064048,-5.73705398347126,-5.52386079526576,-5.32129391741495,-5.21062119075331,-0.534373979672974
"ld0011",4,"ld0011_4",1.11166666666667,-5.98933761064186,-5.37588374286254,-5.57762658933988,-6.02389807341212,-5.27352739284375,-4.88020339368885,-0.524144525095667
"ld0011",5,"ld0011_5",1.16933333333333,NA,-5.46224552383514,-5.23161113409523,-5.33884502938811,NA,-4.96556446666388,-0.0930724813312994
"ld0011",6,"ld0011_6",1.12866666666667,NA,-6.16701293369455,-5.45360158859159,-5.22651497878397,-4.97981054592968,-5.15958256019217,-0.394783824014012
"ld0011",7,"ld0011_7",1.09866666666667,-5.95904305017316,-5.7859041168173,-5.82010687463902,-5.69528646814694,-5.25777598739659,-5.02343987394538,-0.624409287950791
"ld0011",8,"ld0011_8",1.09566666666667,-5.75413221433154,-5.61415888746039,-5.45413877459809,-4.91652588037761,-5.0377991126023,-4.87139192093748,-0.647715767011074
"ld0011",9,"ld0011_9",1.087,-5.76041251046535,-5.92232549963859,-5.30097188667114,-5.22030650629452,-5.17230534869618,-4.98922528286349,-0.715405796573922
"ld0011",10,"ld0011_10",1.08266666666667,-5.71864710793746,NA,-5.59581303520159,-5.31623717146723,-5.28906886607862,-4.92145435979902,-0.749453466993795
