"id","samp_period","series","avg_mass","t_22","t_24","t_26","t_28","t_30","t_32","z.log.mass"
"ld0075",2,"ld0075_2",1.00833333333333,-0.165788899437685,-3.35139980497956,0.638920458478467,-0.968130295082334,-1.39551000368995,-0.22366877234425,-1.35572945159732
"ld0075",3,"ld0075_3",1.00166666666667,1.44817543090239,0.810527424605436,-0.798589003426735,0.251963919739864,-0.863105522046145,-0.516108256741785,-1.41227156277204
"ld0075",4,"ld0075_4",0.959666666666667,-0.0784552120770408,1.10370075994154,1.25277826215819,0.441934092760038,-0.935586090332346,-1.36288847881271,-1.77738012826653
"ld0075",5,"ld0075_5",1.02033333333333,-0.0334691423184081,0.343801545297818,-0.0804770934337365,-1.48269754306517,-2.0702003134262,0.198630693963108,-1.25488932964355
"ld0075",6,"ld0075_6",1.05366666666667,-0.769832788605782,0.282800638465733,0.67934946954425,0.487555597815278,-0.129678600657881,0.141273509385407,-0.980880135382181
"ld0075",7,"ld0075_7",1.005,-1.07057466055476,-0.933309613766693,-0.569736524634203,-1.37199377502343,-1.29350570029225,-0.466791234842576,-1.38395362309277
"ld0075",8,"ld0075_8",0.998666666666667,-1.39390364953486,-1.41454587124428,-0.32621764603081,-1.49986455318829,0.0348913590767616,-1.05612820970009,-1.43783839681546
"ld0075",9,"ld0075_9",0.999333333333333,-0.863775917090341,0.877151016131999,0.540452980276767,-1.01584965389195,0.268293359956706,-0.0849222126219228,-1.43215024711922
"ld0075",10,"ld0075_10",1.018,-0.262677416966184,-0.60181347813536,-0.126659472312296,-0.0592424860116008,1.01368246465991,0.163730119816763,-1.27440392329407
"ld0076",1,"ld0076_1",1.398,1.08069869767571,NA,0.340888788276945,0.83675391446124,0.153083635344385,0.313103111226064,1.42933441309894
"ld0076",2,"ld0076_2",1.30266666666667,0.227269750885487,-0.109909993324914,0.466674397434118,-0.652496916846841,-0.517312500519354,-0.266685489201465,0.827312880342952
"ld0076",3,"ld0076_3",1.37166666666667,0.347950222280498,-0.575391887557054,1.35564232119954,-0.363171553472931,0.798746139314873,-0.544081023192685,1.26724704764947
"ld0076",4,"ld0076_4",1.328,2.06926693830509,0.353520231684237,0.855425913758023,1.00570654084419,1.43383957405517,0.846223272283175,0.99148434978217
"ld0076",5,"ld0076_5",1.332,-0.209426875052686,0.948746419592393,-0.517628784241018,0.150623108238296,-0.216421910322249,-2.04911844658338,1.01711953302534
"ld0076",6,"ld0076_6",1.31733333333333,0.670008764758422,-0.58195539037256,-2.71044013913686,-0.674215833765906,0.00481218311729224,-0.813854834857409,0.922744525590134
"ld0076",7,"ld0076_7",1.29466666666667,-0.168330515930059,0.0980469247438242,0.0903798302320664,0.157199534621458,1.49003809031762,-1.94687322160234,0.774805371360599
"ld0076",8,"ld0076_8",1.28933333333333,1.57608175871046,1.71882454476099,0.459496096926531,0.836151916868813,0.210116606107732,0.105669090368819,0.73961980229044
"ld0076",9,"ld0076_9",1.23133333333333,1.72701954624712,-0.106114705092916,0.193309243375658,0.265411982011808,0.0459474492246187,0.447971126519733,0.347293899541415
"ld0076",10,"ld0076_10",1.27533333333333,1.12280556668427,0.0305578485938157,0.177373264655165,0.366265910579829,-0.873503469952104,0.368984474385782,0.646560634077783
"ld0077",1,"ld0077_1",1.443,0.860192633824704,-0.0741921737634816,0.28343672285462,NA,-0.252020320444852,-0.321383943813718,1.69937892036024
"ld0077",2,"ld0077_2",1.368,0.210465015857915,-0.248153467488964,0.261728501802832,0.0289790542509878,0.0341467037546381,0.865767257764473,1.24443145742675
"ld0077",3,"ld0077_3",1.31633333333333,0.35734352252615,-0.122281855747189,-0.272249824837485,0.489929301582956,-0.109241832807415,-0.00325521603585663,0.916271654500563
"ld0077",4,"ld0077_4",1.323,-0.110756608515197,-0.502815171474175,-0.244113181294479,0.0949185745685657,-0.627433719294372,-0.873008637691976,0.959331569281881
