date,samp_period,batch,ch_num,incb_num,incb_temp_id,incb_temp,id,tc,key,body_temp,ch_mass,ch_lizmass,t_flush,t_samp,t_diff,ch_vol,co2_samp_control,co2_samp_1,co2_samp_2,defecate,air_collect_notes,fms_notes,co2_warthog_notes,,,
26/12/16,1,1,1,1,1,22,ld0051,tc0140,A,NA,18.059,19.408,08:46,10:36,110,146.33,NA,0.0088507,0.0093661,,20 min delay,,,,,
26/12/16,1,1,2,1,1,22,ld0042,tc0103,B,NA,17.395,18.853,08:48,10:37,109,146.33,4.24E-04,0.0088871,0.0088898,,,,pretty big and hard to integrate peak CO2 control,,,
26/12/16,1,1,3,1,1,22,ld0170,tc0415,C,NA,17.726,18.973,08:50,10:38,108,146.33,1.46E-03,0.0084924,0.0085094,,,,,,,
26/12/16,1,1,4,1,1,22,ld0133,tc0314,D,NA,17.256,18.404,08:51,10:40,109,146.33,5.92E-04,5.05E-03,4.40E-03,,,,,,,
26/12/16,1,1,5,1,1,22,ld0146,tc0340,E,NA,17.593,18.862,08:53,10:42,109,146.33,7.33E-04,3.75E-03,4.02E-03,,,,,,,
26/12/16,1,1,6,1,1,22,ld0020,tc0032,F,NA,17.199,18.836,08:55,10:44,109,146.33,5.69E-04,6.25E-03,5.91E-03,,,,,,,
26/12/16,1,1,7,1,1,22,ld0154,tc02(A)0,G,NA,17.426,18.689,08:57,10:47,110,146.33,5.25E-04,6.18E-03,5.44E-03,,,,,,,
26/12/16,1,1,8,1,1,22,ld0118,tc0251,H,NA,17.422,19.124,08:58,10:49,111,146.33,4.91E-04,4.04E-03,4.80E-03,,,,,,,
26/12/16,1,1,9,1,1,22,ld0150,tc0344,I,NA,17.696,19.064,09:00,10:51,111,146.33,4.12E-04,0.0079066,2.53E-03,,,,,,,
26/12/16,1,1,10,1,1,22,ld0140,tc0325,J,NA,17.629,18.767,09:03,10:53,110,146.33,3.16E-04,4.69E-03,4.43E-03,,,,,,,
26/12/16,1,1,11,2,1,26,ld0011,tc0015,K,21,16.868,18.073,10:14,11:34,80,146.33,2.53E-04,0.0130596,0.0118397,,,,,,,
26/12/16,1,1,12,2,1,26,ld0018,tc0A30,L,20.5,17.610,18.916,10:16,11:36,80,146.33,3.03E-04,4.49E-03,3.62E-03,,,,,,,
26/12/16,1,1,13,2,1,26,ld0105,tc0230,M,21.5,17.622,18.985,10:18,11:38,80,146.33,6.93E-04,0.0100899,0.0104975,,,,no CO2markerS1,,,
26/12/16,1,1,14,2,1,26,ld0002,tc0002,N,20,17.825,18.922,10:20,11:40,80,146.33,3.36E-04,2.78E-03,2.99E-03,,,,,,,
26/12/16,1,1,15,2,1,26,ld0095,tc0214,O,19.5,17.688,19.093,10:21,11:42,81,146.33,NA,4.76E-03,5.35E-03,,,,BadCO2S1S2,,,
26/12/16,1,1,16,2,1,26,ld0088,tc0203,P,20.5,17.675,19.024,10:24,11:44,80,146.33,1.27E-03,0.0131097,0.0132052,,,,messy double peaks for CO2,,,
26/12/16,1,1,17,2,1,26,ld0142,tc0331,Q,20,17.486,18.572,10:25,11:46,81,146.33,NA,4.05E-03,5.03E-03,,,,"MultiPCO2S2, no CO2markerS1",,,
26/12/16,1,1,18,2,1,26,ld0049,tc01(12)0,R,21,17.651,19.120,10:27,11:48,81,146.33,NA,2.69E-03,3.51E-03,1,,,BadCO2BL,,,
26/12/16,1,1,19,2,1,26,ld0027,tc0043,S,20.5,17.300,18.839,10:29,11:50,81,146.33,NA,6.34E-03,NA,,BadS,,MultiPCO2S2,,,
26/12/16,1,1,20,2,1,26,ld0155,tc1342,T,19.5,17.566,18.673,10:31,11:52,81,146.33,3.19E-04,0.0133056,0.0118778,,,,MultiPCO2,,,
26/12/16,1,1,21,2,1,26,ld0089,tc0204,U,21,17.526,18.816,10:32,11:54,82,146.33,0.031888,0.0124746,0.0115456,,"Escaped 9:33, found 9:43",,BadCO2BL,,,
26/12/16,1,1,1,1,2,28,ld0051,tc0140,A,NA,18.059,19.408,11:54,13:24,90,146.33,6.09E-04,0.0099051,0.0110712,,,,BadCO2S1,,,
26/12/16,1,1,2,1,2,28,ld0042,tc0103,B,NA,17.395,18.853,11:56,13:26,90,146.33,1.47E-03,0.0095281,0.010095,,,,,,,
26/12/16,1,1,3,1,2,28,ld0170,tc0415,C,NA,17.726,18.973,11:58,13:28,90,146.33,NA,7.33E-03,0.0082815,,,,BadCO2BL,,,
26/12/16,1,1,4,1,2,28,ld0133,tc0314,D,NA,17.256,18.404,12:00,13:30,90,146.33,NA,7.19E-03,0.0078603,,,,,,,
26/12/16,1,1,5,1,2,28,ld0146,tc0340,E,NA,17.593,18.862,12:01,13:32,91,146.33,5.18E-04,5.86E-03,7.62E-03,,,,,,,
26/12/16,1,1,6,1,2,28,ld0020,tc0032,F,NA,17.199,18.836,12:03,13:34,91,146.33,1.36E-04,6.21E-03,6.57E-03,,,,BadCO2BL,,,
26/12/16,1,1,7,1,2,28,ld0154,tc02(A)0,G,NA,17.426,18.689,12:05,13:36,91,146.33,NA,7.11E-03,7.16E-03,,,,MultiPCO2S2,,,
26/12/16,1,1,8,1,2,28,ld0118,tc0251,H,NA,17.422,19.124,12:06,13:38,92,146.33,2.89E-04,6.08E-03,7.73E-03,,,,,,,
26/12/16,1,1,9,1,2,28,ld0150,tc0344,I,NA,17.696,19.064,12:08,13:39,91,146.33,6.11E-05,3.61E-03,4.53E-03,,,,,,,
26/12/16,1,1,10,1,2,28,ld0140,tc0325,J,NA,17.629,18.767,12:10,13:40,90,146.33,9.12E-04,5.29E-03,6.17E-03,,,,,,,
26/12/16,1,1,11,2,2,24,ld0011,tc0015,K,21,16.868,18.073,12:38,14:08,90,146.33,8.99E-04,5.10E-03,6.21E-03,,,,MultiPCO2BL,,,
26/12/16,1,1,12,2,2,24,ld0018,tc0A30,L,20.5,17.610,18.916,12:40,14:10,90,146.33,3.78E-04,4.06E-03,4.08E-03,,,,,,,
26/12/16,1,1,13,2,2,24,ld0105,tc0230,M,21.5,17.622,18.985,12:42,14:12,90,146.33,7.62E-04,3.26E-03,4.27E-03,,,,,,,
26/12/16,1,1,14,2,2,24,ld0002,tc0002,N,20,17.825,18.922,12:44,14:14,90,146.33,3.51E-04,2.03E-03,3.04E-03,,,,,,,
26/12/16,1,1,15,2,2,24,ld0095,tc0214,O,19.5,17.688,19.093,12:45,14:16,91,146.33,2.89E-04,4.16E-03,6.34E-03,,,,,,,
26/12/16,1,1,16,2,2,24,ld0088,tc0203,P,20.5,17.675,19.024,12:48,14:17,89,146.33,8.25E-04,0.0096322,0.0102803,,Escaped,,,,,
26/12/16,1,1,17,2,2,24,ld0142,tc0331,Q,20,17.486,18.572,12:50,14:19,89,146.33,3.32E-04,4.93E-03,4.78E-03,,,,,,,
26/12/16,1,1,18,2,2,24,ld0049,tc01(12)0,R,21,17.651,19.120,12:52,14:21,89,146.33,5.93E-04,4.79E-03,4.28E-03,1,,,MultiPCO2BL,,,
26/12/16,1,1,19,2,2,24,ld0027,tc0043,S,20.5,17.300,18.839,12:54,14:23,89,146.33,1.29E-03,5.20E-03,4.80E-03,,,,,,,
26/12/16,1,1,20,2,2,24,ld0155,tc1342,T,19.5,17.566,18.673,12:55,14:25,90,146.33,1.39E-03,0.0106714,0.0081429,,,,MultiPCO2BL,,,
26/12/16,1,1,21,2,2,24,ld0089,tc0204,U,21,17.526,18.816,12:56,14:26,90,146.33,7.32E-04,7.14E-03,7.31E-03,,,,,,,
27/12/16,1,1,1,1,1,32,ld0051,tc0140,A,27,17.028,18.364,09:07,10:37,90,146.33,2.13E-03,0.0126057,0.013316,,,,,,,
27/12/16,1,1,2,1,1,32,ld0042,tc0103,B,28,16.364,17.797,09:09,10:39,90,146.33,1.01E-03,0.0106154,0.0086115,,,,,,,
27/12/16,1,1,3,1,1,32,ld0170,tc0415,C,28.5,16.692,17.808,09:10,10:41,91,146.33,1.26E-03,0.0079801,7.24E-03,,,,,,,
27/12/16,1,1,4,1,1,32,ld0133,tc0314,D,23.5,16.228,17.340,09:12,10:43,91,146.33,3.71E-04,0.0089228,7.76E-03,,,,,,,
27/12/16,1,1,5,1,1,32,ld0146,tc0340,E,29,16.574,17.811,09:14,10:45,91,146.33,1.25E-03,0.0087991,0.0087071,,FS,,,,,
27/12/16,1,1,6,1,1,32,ld0020,tc0032,F,28,16.603,17.831,09:16,10:47,91,146.33,1.46E-03,0.0100734,0.0096243,,,,,,,
27/12/16,1,1,7,1,1,32,ld0154,tc02(A)0,G,27,16.408,17.637,09:17,10:49,92,146.33,7.08E-04,0.0083427,0.0095192,,,,,,,
27/12/16,1,1,8,1,1,32,ld0118,tc0251,H,29,16.608,18.054,09:19,10:50,91,146.33,3.64E-04,0.0158201,0.0150391,,,,MultiPCO2BL,,,
27/12/16,1,1,9,1,1,32,ld0150,tc0344,I,29.5,16.665,18.025,09:21,10:53,92,146.33,NA,5.51E-03,2.63E-03,,,,,,,
27/12/16,1,1,10,1,1,32,ld0140,tc0325,J,27,16.620,17.739,09:23,10:55,92,146.33,3.07E-04,0.0092815,0.008436,,,,,,,
27/12/16,1,1,11,2,1,30,ld0011,tc0015,K,30.5,15.857,17.038,10:12,11:42,90,146.33,3.38E-04,4.52E-03,6.89E-03,,Sat in incubator for 30 mins extra before BL,,,,,
27/12/16,1,1,12,2,1,30,ld0018,tc0A30,L,27.5,16.601,17.876,10:13,11:45,92,146.33,4.10E-04,4.62E-03,5.83E-03,,Sat in incubator for 30 mins extra before BL,,,,,
27/12/16,1,1,13,2,1,30,ld0105,tc0230,M,27.5,16.603,17.926,10:15,11:47,92,146.33,5.98E-04,6.48E-03,7.69E-03,,Sat in incubator for 30 mins extra before BL,,,,,
27/12/16,1,1,14,2,1,30,ld0002,tc0002,N,30,16.809,17.898,10:17,11:49,92,146.33,2.98E-04,4.12E-03,4.39E-03,,Sat in incubator for 30 mins extra before BL,,,,,
27/12/16,1,1,15,2,1,30,ld0095,tc0214,O,29,16.666,18.008,10:19,11:51,92,146.33,3.39E-04,5.68E-03,5.45E-03,,Sat in incubator for 30 mins extra before BL,,,,,
27/12/16,1,1,16,2,1,30,ld0088,tc0203,P,26,16.666,18.008,10:22,11:53,91,146.33,1.39E-03,0.0128894,0.011258,,Sat in incubator for 30 mins extra before BL,,,,,
27/12/16,1,1,17,2,1,30,ld0142,tc0331,Q,28.5,16.471,17.501,10:24,11:54,90,146.33,3.58E-04,4.75E-03,6.03E-03,,Sat in incubator for 30 mins extra before BL,,,,,
27/12/16,1,1,18,2,1,30,ld0049,tc01(12)0,R,28.5,16.632,18.054,10:26,11:56,90,146.33,1.07E-03,6.19E-03,7.91E-04,1,Sat in incubator for 30 mins extra before BL,,,,,
27/12/16,1,1,19,2,1,30,ld0027,tc0043,S,28,16.409,17.819,10:28,11:58,90,146.33,NA,0.0089392,4.60E-03,1,Sat in incubator for 30 mins extra before BL,,MultiPCO2BL,,,
27/12/16,1,1,20,2,1,30,ld0155,tc1342,T,31,16.769,17.815,10:29,12:00,91,146.33,2.47E-03,0.0115757,5.30E-03,1,Sat in incubator for 30 mins extra before BL,,,,,
27/12/16,1,1,21,2,1,30,ld0089,tc0204,U,28,16.584,17.817,10:30,12:02,92,146.33,8.22E-04,0.0080809,6.49E-03,1,Sat in incubator for 30 mins extra before BL,,,,,
27/12/16,1,1,1,1,2,24,ld0051,tc0140,A,27,17.028,18.364,12:03,13:33,90,146.33,1.54E-03,5.97E-03,5.66E-03,,,,,,,
27/12/16,1,1,2,1,2,24,ld0042,tc0103,B,28,16.364,17.797,12:05,13:35,90,146.33,8.85E-04,7.45E-03,7.37E-03,,,,BadO2S1,,,
27/12/16,1,1,3,1,2,24,ld0170,tc0415,C,28.5,16.692,17.808,12:07,13:37,90,146.33,8.29E-04,3.30E-03,3.19E-03,,,,,,,
27/12/16,1,1,4,1,2,24,ld0133,tc0314,D,23.5,16.228,17.340,12:09,13:39,90,146.33,7.15E-04,3.65E-03,3.46E-03,,,,,,,
27/12/16,1,1,5,1,2,24,ld0146,tc0340,E,29,16.574,17.811,12:11,13:41,90,146.33,6.84E-04,3.94E-03,2.34E-03,,,,,,,
27/12/16,1,1,6,1,2,24,ld0020,tc0032,F,28,16.603,17.831,12:12,13:43,91,146.33,7.79E-04,4.47E-03,4.30E-03,,,,,,,
27/12/16,1,1,7,1,2,24,ld0154,tc02(A)0,G,27,16.408,17.637,12:14,13:45,91,146.33,5.29E-04,3.79E-03,3.62E-03,,,,,,,
27/12/16,1,1,8,1,2,24,ld0118,tc0251,H,29,16.608,18.054,12:16,13:47,91,146.33,3.39E-04,0.0122633,0.0122387,,Shedding,,,,,
27/12/16,1,1,9,1,2,24,ld0150,tc0344,I,29.5,16.665,18.025,12:18,13:49,91,146.33,NA,2.60E-03,2.16E-03,,,,MultiPCO2BLS2,,,
27/12/16,1,1,10,1,2,24,ld0140,tc0325,J,27,16.620,17.739,12:20,13:51,91,146.33,5.37E-04,4.11E-03,3.67E-03,,,,,,,
27/12/16,1,1,11,2,2,28,ld0011,tc0015,K,30.5,15.857,17.038,12:42,14:12,90,146.33,8.50E-04,7.14E-03,6.43E-03,,,,,,,
27/12/16,1,1,12,2,2,28,ld0018,tc0A30,L,27.5,16.601,17.876,12:44,14:14,90,146.33,1.24E-03,5.62E-03,6.16E-03,,,,,,,
27/12/16,1,1,13,2,2,28,ld0105,tc0230,M,27.5,16.603,17.926,12:46,14:16,90,146.33,5.26E-04,3.82E-03,3.36E-03,,,,MultiPCO2BL,,,
27/12/16,1,1,14,2,2,28,ld0002,tc0002,N,30,16.809,17.898,12:48,14:18,90,146.33,6.05E-04,2.82E-03,3.32E-03,,,,,,,
27/12/16,1,1,15,2,2,28,ld0095,tc0214,O,29,16.666,18.008,12:50,14:20,90,146.33,NA,4.88E-03,4.80E-03,,,,,,,
27/12/16,1,1,16,2,2,28,ld0088,tc0203,P,26,16.666,18.008,12:52,14:22,90,146.33,1.28E-03,7.10E-03,7.11E-03,,,,,,,
27/12/16,1,1,17,2,2,28,ld0142,tc0331,Q,28.5,16.471,17.501,12:53,14:23,90,146.33,3.96E-04,3.79E-03,3.33E-03,,FS,,BadCO2BL,,,
27/12/16,1,1,18,2,2,28,ld0049,tc01(12)0,R,28.5,16.632,18.054,12:55,14:25,90,146.33,1.12E-03,NA,6.57E-03,1,,,"DoublePCO2BL, BadCO2S1",,,
27/12/16,1,1,19,2,2,28,ld0027,tc0043,S,28,16.409,17.819,12:57,14:26,89,146.33,2.98E-04,4.71E-03,5.62E-03,1,,,,,,
27/12/16,1,1,20,2,2,28,ld0155,tc1342,T,31,16.769,17.815,12:59,14:28,89,146.33,4.56E-04,NA,4.62E-03,1,,,BadCO2S1,,,
27/12/16,1,1,21,2,2,28,ld0089,tc0204,U,28,16.584,17.817,13:01,14:32,91,146.33,6.70E-04,5.38E-03,4.78E-03,1,,,MultiPCO2BL,,,
28/12/16,1,1,1,1,1,26,ld0051,tc0140,A,22,17.024,18.379,08:05,09:35,90,146.33,9.56E-04,5.29E-03,5.85E-03,,,,,,,
28/12/16,1,1,2,1,1,26,ld0042,tc0103,B,23,16.365,17.821,08:07,09:37,90,146.33,6.63E-04,3.53E-03,4.66E-03,,,,,,,
28/12/16,1,1,3,1,1,26,ld0170,tc0415,C,21.5,16.696,17.819,08:09,09:39,90,146.33,2.28E-04,2.39E-03,2.58E-03,,,,,,,
28/12/16,1,1,4,1,1,26,ld0133,tc0314,D,21.5,16.236,17.343,08:11,09:41,90,146.33,NA,2.50E-03,2.70E-03,1,,,,,,
28/12/16,1,1,5,1,1,26,ld0146,tc0340,E,22,16.575,17.801,08:12,09:43,91,146.33,NA,3.46E-03,2.42E-03,1,Forgot to flush,,,,,
28/12/16,1,1,6,1,1,26,ld0020,tc0032,F,22,16.663,17.817,08:14,09:44,90,146.33,2.46E-04,2.19E-03,3.02E-03,,,,,,,
28/12/16,1,1,7,1,1,26,ld0154,tc02(A)0,G,22,16.418,17.611,08:15,09:46,91,146.33,NA,2.77E-03,2.54E-03,,,,,,,
28/12/16,1,1,8,1,1,26,ld0118,tc0251,H,23,16.586,17.981,08:17,09:48,91,146.33,NA,2.60E-03,2.64E-03,1,,,,,,
28/12/16,1,1,9,1,1,26,ld0150,tc0344,I,22.5,16.665,17.996,08:18,09:49,91,146.33,NA,2.52E-03,2.88E-03,,,,,,,
28/12/16,1,1,10,1,1,26,ld0140,tc0325,J,22,16.623,17.705,08:20,09:50,90,146.33,5.72E-04,3.79E-03,4.55E-03,,FS,,,,,
28/12/16,1,1,11,2,1,32,ld0011,tc0015,K,22.5,15.845,17.032,09:05,10:35,90,146.33,8.69E-04,1.94E-03,4.92E-03,,Forgot to flush,,,,,
28/12/16,1,1,12,2,1,32,ld0018,tc0A30,L,22.5,16.600,17.870,09:07,10:37,90,146.33,3.68E-04,NA,4.66E-03,,"Forgot to flush, NoS1",,,,,
28/12/16,1,1,13,2,1,32,ld0105,tc0230,M,23,16.610,17.924,09:08,10:39,91,146.33,2.06E-03,6.45E-03,7.08E-03,,Forgot to flush,,,,,
28/12/16,1,1,14,2,1,32,ld0002,tc0002,N,24.5,16.947,18.014,09:10,10:41,91,146.33,7.83E-04,3.54E-03,3.22E-03,,,,,,,
28/12/16,1,1,15,2,1,32,ld0095,tc0214,O,22,16.660,18.006,09:12,10:43,91,146.33,6.20E-04,3.90E-03,5.19E-03,1,,,,,,
28/12/16,1,1,16,2,1,32,ld0088,tc0203,P,27.5,16.662,17.974,09:13,10:44,91,146.33,1.33E-03,6.30E-03,6.19E-03,,,,,,,
28/12/16,1,1,17,2,1,32,ld0142,tc0331,Q,26.5,16.461,17.479,09:15,10:46,91,146.33,5.79E-04,4.02E-03,3.97E-03,1,,,,,,
28/12/16,1,1,18,2,1,32,ld0049,tc01(12)0,R,22.5,16.631,18.015,09:16,10:48,92,146.33,7.05E-04,4.71E-03,5.05E-03,,,,,,,
28/12/16,1,1,19,2,1,32,ld0027,tc0043,S,26.5,16.280,17.788,09:18,10:50,92,146.33,4.38E-04,5.10E-03,5.44E-03,,,,,,,
28/12/16,1,1,20,2,1,32,ld0155,tc1342,T,23.5,16.527,17.560,09:19,10:52,93,146.33,8.53E-04,4.72E-03,5.04E-03,,,,,,,
28/12/16,1,1,21,2,1,32,ld0089,tc0204,U,23,16.460,17.675,09:21,10:53,92,146.33,4.68E-04,4.19E-03,4.65E-03,,,,,,,
28/12/16,1,1,1,1,2,30,ld0051,tc0140,A,22,17.024,18.379,11:35,12:55,80,146.33,1.25E-03,5.50E-03,4.89E-03,,,,,,,
28/12/16,1,1,2,1,2,30,ld0042,tc0103,B,23,16.365,17.821,11:36,12:57,81,146.33,1.15E-03,5.96E-03,5.46E-03,,,,,,,
28/12/16,1,1,3,1,2,30,ld0170,tc0415,C,21.5,16.696,17.819,11:38,12:59,81,146.33,1.09E-03,2.90E-03,3.22E-03,,,,,,,
28/12/16,1,1,4,1,2,30,ld0133,tc0314,D,21.5,16.236,17.343,11:40,13:01,81,146.33,8.76E-04,5.44E-03,3.84E-03,1,,,,,,
28/12/16,1,1,5,1,2,30,ld0146,tc0340,E,22,16.575,17.801,11:41,13:03,82,146.33,NA,6.12E-03,4.54E-03,1,,,,,,
28/12/16,1,1,6,1,2,30,ld0020,tc0032,F,22,16.663,17.817,11:43,13:05,82,146.33,1.05E-03,4.54E-03,5.05E-03,,,,,,,
28/12/16,1,1,7,1,2,30,ld0154,tc02(A)0,G,22,16.418,17.611,11:44,13:06,82,146.33,8.67E-04,3.50E-03,4.29E-03,,,,,,,
28/12/16,1,1,8,1,2,30,ld0118,tc0251,H,23,16.586,17.981,11:46,13:07,81,146.33,2.22E-03,6.29E-03,NA,1,,,LostCO2S2,,,
28/12/16,1,1,9,1,2,30,ld0150,tc0344,I,22.5,16.665,17.996,11:48,13:09,81,146.33,NA,4.54E-03,4.79E-03,,,,,,,
