series,id,samp_period,Intercept,inverseK_incb_temp,z.log.mass,inverseK_prior_temp2
ld0153_1,ld0153,1,0.370241394,1.131709356,0.354044931,0.051851362
ld0153_10,ld0153,10,-0.049489948,1.427201352,0.354044931,0.051851362
ld0153_2,ld0153,2,0.137827848,1.490839357,0.354044931,0.051851362
ld0153_3,ld0153,3,-0.075492785,1.434502409,0.354044931,0.051851362
ld0153_4,ld0153,4,0.353448707,1.18605041,0.354044931,0.051851362
ld0153_5,ld0153,5,-0.146050826,1.409651201,0.354044931,0.051851362
ld0153_6,ld0153,6,0.164660081,1.21894994,0.354044931,0.051851362
ld0153_7,ld0153,7,-0.123945783,1.397426988,0.354044931,0.051851362
ld0153_8,ld0153,8,-0.175549245,1.511686819,0.354044931,0.051851362
ld0153_9,ld0153,9,-0.165636962,1.511805044,0.354044931,0.051851362
ld0154_1,ld0154,1,0.0900356,1.333216505,0.354044931,0.051851362
ld0154_10,ld0154,10,0.136736999,1.238401005,0.354044931,0.051851362
ld0154_2,ld0154,2,0.176308217,1.273604867,0.354044931,0.051851362
ld0154_3,ld0154,3,0.271189356,1.282636577,0.354044931,0.051851362
ld0154_4,ld0154,4,0.286901448,1.109282984,0.354044931,0.051851362
ld0154_5,ld0154,5,0.251640748,1.26017008,0.354044931,0.051851362
ld0154_6,ld0154,6,-0.584674202,1.758314315,0.354044931,0.051851362
ld0154_7,ld0154,7,-0.366362727,1.569333665,0.354044931,0.051851362
ld0154_8,ld0154,8,-0.245310879,1.513317891,0.354044931,0.051851362
ld0154_9,ld0154,9,0.063193828,1.36620485,0.354044931,0.051851362
ld0155_1,ld0155,1,0.261893986,1.173312172,0.354044931,0.051851362
ld0155_10,ld0155,10,0.067786514,1.41355482,0.354044931,0.051851362
ld0155_2,ld0155,2,0.190760669,1.310809725,0.354044931,0.051851362
ld0155_3,ld0155,3,0.183888939,1.282036888,0.354044931,0.051851362
ld0155_4,ld0155,4,-0.103250166,1.457965126,0.354044931,0.051851362
ld0155_5,ld0155,5,-0.161890133,1.422147591,0.354044931,0.051851362
ld0155_6,ld0155,6,-0.191094148,1.511899548,0.354044931,0.051851362
ld0155_7,ld0155,7,-0.263132328,1.425446099,0.354044931,0.051851362
ld0155_8,ld0155,8,0.218620862,1.305932631,0.354044931,0.051851362
ld0155_9,ld0155,9,0.15843464,1.425632107,0.354044931,0.051851362
ld0170_1,ld0170,1,0.108996713,1.297900654,0.354044931,0.051851362
ld0170_10,ld0170,10,-0.091660439,1.449245623,0.354044931,0.051851362
ld0170_2,ld0170,2,0.256815989,1.288128651,0.354044931,0.051851362
ld0170_3,ld0170,3,-0.07546937,1.511017984,0.354044931,0.051851362
ld0170_4,ld0170,4,-0.063124814,1.477106818,0.354044931,0.051851362
ld0170_5,ld0170,5,0.149017163,1.275012418,0.354044931,0.051851362
ld0170_6,ld0170,6,-0.370194645,1.600254975,0.354044931,0.051851362
ld0170_7,ld0170,7,-0.291296933,1.50795208,0.354044931,0.051851362
ld0170_8,ld0170,8,-0.112114006,1.490402038,0.354044931,0.051851362
ld0170_9,ld0170,9,-0.058046403,1.512976688,0.354044931,0.051851362
ld0171_1,ld0171,1,0.344967097,1.074089611,0.354044931,0.051851362
ld0171_10,ld0171,10,0.195408374,1.299061179,0.354044931,0.051851362
ld0171_2,ld0171,2,0.125728821,1.258450408,0.354044931,0.051851362
ld0171_3,ld0171,3,0.090911631,1.389093512,0.354044931,0.051851362
ld0171_4,ld0171,4,0.091604288,1.287266082,0.354044931,0.051851362
ld0171_5,ld0171,5,-0.081031309,1.392660615,0.354044931,0.051851362
ld0171_6,ld0171,6,-0.198741976,1.503461292,0.354044931,0.051851362
ld0171_7,ld0171,7,-0.105650291,1.31894622,0.354044931,0.051851362
ld0171_8,ld0171,8,-0.218907559,1.470853544,0.354044931,0.051851362
ld0171_9,ld0171,9,0.070074467,1.327146819,0.354044931,0.051851362
ld0175_1,ld0175,1,-0.226924208,1.486642499,0.354044931,0.051851362
ld0175_10,ld0175,10,0.139599433,1.504164247,0.354044931,0.051851362
ld0175_2,ld0175,2,-0.073962406,1.440773016,0.354044931,0.051851362
ld0175_3,ld0175,3,0.304027873,1.111575432,0.354044931,0.051851362
ld0175_4,ld0175,4,0.086663332,1.261242475,0.354044931,0.051851362
ld0175_5,ld0175,5,-0.090155926,1.49378385,0.354044931,0.051851362
ld0175_6,ld0175,6,-0.197837895,1.53210587,0.354044931,0.051851362
ld0175_7,ld0175,7,-0.079921077,1.395958731,0.354044931,0.051851362
ld0175_8,ld0175,8,-0.083472101,1.349364475,0.354044931,0.051851362
ld0175_9,ld0175,9,-0.017202945,1.293020375,0.354044931,0.051851362
