egg_id,egg_clutch_id,egg_tub_id,egg_laid_date,egg_incub_days,egg_incub_temp,egg_mass,egg_width,egg_length,egg_notes
egg0032,c0008,e057,15/11/2016,26,29,0.118,5.24,8.77,
egg0033,c0009,e055,15/11/2016,26,29,0.125,5.06,8.77,
egg0037,c0010,e024,15/11/2016,26,29,0.103,5.04,8.09,pinkish on one side (see picture)
egg0039,c0011,e050,15/11/2016,26,29,0.106,5.22,8.19,
egg0040,c0011,e050,15/11/2016,26,29,0.11,5.02,8.8,egg rolled over in cup
egg0042,c0012,e059,16/11/2016,25,29,0.12,4.89,8.89,
egg0045,c0012,e059,16/11/2016,25,29,0.133,5.23,8.94,
egg0047,c0013,e021,18/11/2016,23,29,0.128,5.2,9.16,
egg0050,c0014,e058,18/11/2016,23,29,0.215,5,8.36,"stuck together with egg 51 in one cup (weight of both eggs), has a pencil spot"
egg0051,c0014,e058,18/11/2016,23,29,0.215,5.33,7.72,stuck together with egg 50 in one cup (weight of both eggs)
egg0052,c0015,e031,18/11/2016,23,29,0.139,5.45,9.02,egg rolled over
egg0053,c0015,e031,18/11/2016,23,29,0.151,5.78,8.55,female dropped tail
egg0057,c0016,e049,18/11/2016,23,29,1.136,5.55,9.3,
egg0059,c0017,e021,19/11/2016,22,29,0.11,5.12,7.56,"yellow with pink dot, see pic"
egg0061,c0018,e061,20/11/2016,21,29,0.109,4.99,7.51,
egg0063,c0019,e059,20/11/2016,21,29,0.109,4.57,7.87,
egg0064,c0019,e059,20/11/2016,21,29,0.123,5.13,8.27,
egg0066,c0020,e058,20/11/2016,21,29,0.105,4.78,7.9,
egg0070,c0020,e058,20/11/2016,21,29,0.115,5.45,7.27,
egg0071,c0020,e058,20/11/2016,21,29,0.108,5.47,7.39,
egg0072,c0021,e062,21/11/2016,20,29,0.107,5.19,8.35,
egg0074,c0021,e062,21/11/2016,20,29,0.115,5.07,8.29,
egg0076,c0022,e050,22/11/2016,19,29,0.149,5.52,9.06,
egg0079,c0022,e050,22/11/2016,19,29,0.152,5.63,8.65,
egg0082,c0023,e025,22/11/2016,19,29,0.15,6.01,8.1,egg yellow compared to other 3 in clutch
egg0083,c0023,e025,22/11/2016,19,29,0.186,6.5,8.9,
egg0086,c0024,e017,22/11/2016,19,29,0.115,4.76,8.98,
egg0087,c0025,e058,23/11/2016,18,29,0.127,4.73,8.5,
egg0090,c0026,e056,23/11/2016,18,29,0.108,5.1,7.9,
egg0092,c0026,e056,23/11/2016,18,29,0.094,4.81,7.56,dented (see picture)
egg0093,c0027,e051,24/11/2016,17,29,0.115,5.23,7.67,
egg0096,c0027,e051,24/11/2016,17,29,0.105,4.99,8.2,
egg0097,c0028,e051,24/11/2016,17,29,0.168,5.95,8.41,clutch found late
egg0101,c0029,e052,24/11/2016,17,29,0.137,5.63,8.16,
egg0102,c0029,e052,24/11/2016,17,29,0.142,5.49,8.62,
egg0103,c0030,e057,24/11/2016,17,29,0.175,6.26,8.63,
egg0104,c0030,e057,24/11/2016,17,29,0.161,6.18,8.9,female killed in lab accident
egg0108,c0031,e060,24/11/2016,17,29,0.148,5.48,9.02,
egg0109,c0031,e060,24/11/2016,17,29,0.152,5.73,8.47,
egg0111,c0032,e015,25/11/2016,16,29,0.061,4.35,7.04,"egg looks yellow, and very squishy see pic. ld0060 tc0124 = 0.1532 
ld0106 tc0231 = 2.425
ld0127 tc0304 = 1.148
"
egg0112,c0033,e057,27/11/2016,14,29,0.144,6.19,7.66,"TC0435: 1.171
TC0441: 1.103
TC0443:0.979*
"
egg0114,c0033,e057,27/11/2016,14,29,0.149,5.94,7.59,"TC0435: 1.171
TC0441: 1.103
TC0443:0.979*
TC0435: 1.171
TC0441: 1.103
TC0443:0.979*
"
egg0116,c0034,e060,27/11/2016,14,29,0.141,6.03,7.62,"TC0552: 1.105; TC0452 = 1.111g
TC0452: 1.111
TC0451:1.560
TC(235)111: 1.363"
egg0117,c0035,e062,27/11/2016,14,29,0.127,5.27,8.19,TC0502 = 1.246g; TC0511 = 1.295g; TC0510 = 1.714g; TC051(4/5) = 0.954g** probably mom
egg0120,c0036,e051,28/11/2016,13,29,0.162,6.18,7.51,"LD 0163, TC 0405, mass 1.160
LD 0164, TC 0410, mass 1.099
LD 0165, TC 0411, mass 1.344
LD 0166, TC 0452, mass 1.770"
egg0122,c0036,e051,28/11/2016,13,29,0.152,6.01,8.12,"LD 0163, TC 0405, mass 1.160
LD 0164, TC 0410, mass 1.099
LD 0165, TC 0411, mass 1.344
LD 0166, TC 0452, mass 1.770"
egg0125,c0037,e059,29/11/2016,12,29,0.147,5.85,8,"has dent (see picture)
LD 0195, TC 0451, mass 0.961
LD 0196, TC 0(34)21, mass 1.367
LD 0197, TC 1312, mass 0.974
LD 0198, TC 0(45)53, mass 1.279"
egg0128,c0038,e062,30/11/2016,11,29,0.155,5.55,9.57,"LD 0207, TC 0505, mass 0.888
LD 0208, TC 0510, mass 1.682
LD 0209, TC 0511, mass 0.963
LD 0210, TC 0504, mass 1.222"
egg0130,c0040,e060,01/12/2016,10,29,0.122,5.18,8.86,"LD 0199, TC 0454, mass 1.459
LD 0201, TC (345)111, mass 1.323
LD 0202, TC 0552, mass 1.231
LD 0203, TC 0455, mass 1.374"
egg0131,c0040,e060,01/12/2016,10,29,0.129,5.36,8.84,"LD 0199, TC 0454, mass 1.459
LD 0201, TC (345)111, mass 1.323
LD 0202, TC 0552, mass 1.231
LD 0203, TC 0455, mass 1.374"
egg0133,c0041,e051,02/12/2016,9,29,0.155,6.09,8.35,"LD 0163, TC 0405, mass 1.180
LD 0164, TC 0410, mass 1.160
LD 0165, TC 0411, mass 1.521
LD 0166, TC 0452, mass 1.120"
egg0134,c0041,e051,02/12/2016,9,29,0.155,5.93,7.98,"LD 0163, TC 0405, mass 1.180
LD 0164, TC 0410, mass 1.160
LD 0165, TC 0411, mass 1.521
LD 0166, TC 0452, mass 1.120"
egg0136,c0042,e043,04/12/2016,7,29,0.144,6.23,8.19,
egg0139,c0042,e043,04/12/2016,7,29,0.121,5.58,7.33,"LD0067, TC0135: 1.443
LD0005, TC0005: 1.683"
egg0140,c0043,e062,05/12/2016,6,29,0.135,5.79,7.83,"LD 0207, TC 0505, mass 0.852
LD 0208, TC 0510, mass 1.248
LD 0209, TC 0511, mass 0.924
LD 0210, TC 0504, mass 1.155"
egg0141,c0043,e062,05/12/2016,6,29,0.135,5.69,8.46,"LD 0207, TC 0505, mass 0.852
LD 0208, TC 0510, mass 1.248
LD 0209, TC 0511, mass 0.924
LD 0210, TC 0504, mass 1.155"
egg0145,c0044,e027,06/12/2016,5,29,0.137,5.83,8.37,"LD 0057, TC 0121, mass 1.389
LD 0126, TC 0303, mass 1.515
LD 0104, TC 0225"
egg0147,c0044,e027,06/12/2016,5,29,0.166,6.26,8.34,"LD 0057, TC 0121, mass 1.389
LD 0126, TC 0303, mass 1.515
LD 0104, TC 0225"
egg0149,c0045,e052,07/12/2016,4,29,0.129,5.44,8.76,"LD 0167, TC 0412, mass 1.499
LD 0168, TC 3004, mass 1.314
LD 0169, TC 041(14), mass 1.138
LD 0213, TC 051(15), mass 1.153
LD 0170, TC 0415"
egg0151,c0046,e043,10/12/2016,1,29,0.134,5.36,8.35,"LD 0005, TC 0005, mass 1.162
LD 0067, TC 0135, mass 0.937
LD 0095, TC 0214"
egg0152,c0046,e043,10/12/2016,1,29,0.142,5.17,9.31,"LD 0005, TC 0005, mass 1.162
LD 0067, TC 0135, mass 0.937
LD 0095, TC 0214"
