egg_id,egg_clutch_id,egg_tub_id,egg_laid_date,egg_incub_days,egg_incub_temp,egg_mass,egg_width,egg_length,egg_notes
egg0137,c0042,e043,04/12/2016,7,23,0.124,5.47,7.86,"LD0067, TC0135: 1.443
LD0005, TC0005: 1.683"
egg0138,c0042,e043,04/12/2016,7,23,0.135,5.63,8.24,"LD0067, TC0135: 1.443
LD0005, TC0005: 1.683"
egg0142,c0043,e062,05/12/2016,6,23,0.134,5.88,8.38,"LD 0207, TC 0505, mass 0.852
LD 0208, TC 0510, mass 1.248
LD 0209, TC 0511, mass 0.924
LD 0210, TC 0504, mass 1.155"
egg0143,c0043,e062,05/12/2016,6,23,0.132,5.83,8.07,"LD 0207, TC 0505, mass 0.852
LD 0208, TC 0510, mass 1.248
LD 0209, TC 0511, mass 0.924
LD 0210, TC 0504, mass 1.155"
egg0144,c0044,e027,06/12/2016,5,23,0.161,6.07,8.35,"LD 0057, TC 0121, mass 1.389
LD 0126, TC 0303, mass 1.515
LD 0104, TC 0225"
egg0146,c0044,e027,06/12/2016,5,23,0.155,6.04,8.16,"LD 0057, TC 0121, mass 1.389
LD 0126, TC 0303, mass 1.515
LD 0104, TC 0225"
egg0148,c0045,e052,07/12/2016,4,23,0.131,5.44,8.42,"LD 0167, TC 0412, mass 1.499
LD 0168, TC 3004, mass 1.314
LD 0169, TC 041(14), mass 1.138
LD 0213, TC 051(15), mass 1.153
LD 0170, TC 0415"
egg0150,c0045,e052,07/12/2016,4,23,0.138,5.58,8.55,"LD 0167, TC 0412, mass 1.499
LD 0168, TC 3004, mass 1.314
LD 0169, TC 041(14), mass 1.138
LD 0213, TC 051(15), mass 1.153
LD 0170, TC 0415"
egg0153,c0046,e043,10/12/2016,1,23,0.13,5.14,8.52,"LD 0005, TC 0005, mass 1.162
LD 0067, TC 0135, mass 0.937
LD 0095, TC 0214"
egg0154,c0046,e043,10/12/2016,1,23,0.123,5.38,8.91,"LD 0005, TC 0005, mass 1.162
LD 0067, TC 0135, mass 0.937
LD 0095, TC 0214"
